"publication_series","publication_date","release_time","synopsis","contact_details","frequency","reason_for_change","publication_id","theme_id","publication_day_released","datestr","epoch"
"The Scottish Arthroplasty Project, September 2023","2023-09-12","09:30","The Scottish Arthroplasty Project (SAP) aims to encourage continual improvement in the quality of care provided to joint replacement surgery (arthroplasty) patients. This is currently achieved through the auditing of routinely collected SMR01 national data in Scotland.","Martin O'Neill
tel. 0141 282 6244
e-mail: martin.oneill@phs.scot","Annual","Not applicable",3009,8001,True,"2023-09-12",1694476800000
"Review of smoking cessation services in Scotland: Advisory Group Report, Release 20230926","2023-09-26","09:30","The Scottish Government commissioned Public Health Scotland (PHS) to carry out a review of smoking cessation services and make recommendations for the delivery of services going forward. A multi-disciplinary advisory group was convened to undertake the review.","Garth Reid
e-mail: garth.reid2@phs.scot","One-off","Not applicable",3006,8001,True,"2023-09-26",1695686400000
"Lymphoma Cancer Quality Performance Indicators, November 2023","2023-11-07","09:30","National reporting of Lymphoma Cancer Quality Performance Indicators (patients diagnosed between Oct 19 - Sep 22).","Garry Hecht
tel. 01412822293
e-mail: phs.cancerstats@phs.scot
Angus Morton
tel. 01412822293
e-mail: angus.morton@phs.scot","Trienially","finalised publication date",3006,8001,True,"2023-11-07",1699315200000
"Acute Leukaemia Cancer Quality Performance Indicators, May 2023","2024-06-00","","National reporting of Acute Leukaemia Cancer Quality Performance Indicators (patients diagnosed between Jul 20 - Jun 23).","Garry Hecht
tel. 01412822293
e-mail: garry.hecht@phs.scot","Trienially","Not applicable",3006,8001,False,"2024-06-01",1717200000000
"Gross Expenditure on Research and Development, Scotland, 2021","2023-09-06","09:30","Gross expenditure on Research and Development in Scotland broken down by expenditure type (by Business, Government and/or Higher Education) - with UK and International comparisons.","Marina Curran
tel. 0131 244 6813
e-mail: marina.curran@gov.scot","Annual","Finalised date within month.",3000,8007,True,"2023-09-06",1693958400000
"Energy Trends, Q2 2023 Data","2023-09-28","09:30","The publication provides the Scottish specific data from DESNZ's Energy Trends publication. New data available this quarter includes:- Energy consumption and productivity data for 2021- Renewable electricity generation for Q2 2023- Renewable capacity for Q2 2023","David MacLeod
tel. 0131 244 0045
e-mail: david.macleod2@gov.scot","Quarterly","Announce final publication date",3000,8007,True,"2023-09-28",1695859200000
"Businesses in Scotland, 2023","2023-11-00","","Estimate of the number of businesses operating in Scotland by industry, sizeband, ownership and local authority area.","Marina Curran
tel. 0131 244 6813
e-mail: marina.curran@gov.scot","Annual","Not applicable",3000,8007,False,"2023-11-01",1698796800000
"Energy Trends, Q3 2023 data","2023-12-00","","The publication provides the Scottish specific data from BEIS's Energy Trends publication. New data available this quarter includes:- Final renewable energy data for 2022- Energy consumption and productivity data for 2022- Renewable electricity generation for Q3 2023- Renewable capacity for Q3 2023","David MacLeod
tel. 0131 244 0045
e-mail: david.macleod2@gov.scot","Quarterly","Not applicable",3000,8007,False,"2023-12-01",1701388800000
"Energy Trends, Q4 2023 data","2024-03-00","","The publication provides the Scottish specific data from DESNZ's Energy Trends publication. New data available this quarter includes:- Renewable electricity generation for Q4 2023- Renewable capacity for Q4 2023","David MacLeod
tel. 0131 244 0045
e-mail: david.macleod2@gov.scot","Quarterly","Not applicable",3000,8007,False,"2024-03-01",1709251200000
"Energy Trends, Q1 2024 data","2024-06-00","","The publication provides the Scottish specific data from DESNZ's Energy Trends publication. New data available this quarter includes:- Renewable electricity generation for Q1 2024- Renewable capacity for Q1 2024","Eoin O Laighleis
tel. 0131 244 3939
e-mail: eoin.o-laighleis@gov.scot","Quarterly","Not applicable",3000,8007,False,"2024-06-01",1717200000000
"Scottish Annual Business Statistics, 2022","2024-06-00","","Data on employees, turnover, gross value added, labour costs and other financial data; shown by industry sector and local authority area","Marina Curran
tel. 0131 244 6813
e-mail: marina.curran@gov.scot","Annual","Not applicable",3000,8007,False,"2024-06-01",1717200000000
"Gross Expenditure on Research and Development, Scotland, 2022","2024-08-00","","Gross expenditure on Research and Development in Scotland broken down by expenditure type (by Business, Government and/or Higher Education) - with UK and International comparisons.","Marina Curran
tel. 0131 244 6813
e-mail: marina.curran@gov.scot","Annual","Not applicable",3000,8007,False,"2024-08-01",1722470400000
"Business Enterprise Research and Development, Scotland, 2022","2023-12-00","","Business R&D expenditure and employment, split by industry, source of funding and ownership.","Marina Curran
tel. 0131 244 6813
e-mail: marina.curran@gov.scot","Annual","Not applicable",3005,8007,False,"2023-12-01",1701388800000
"UK Innovation Survey - Results for Scotland, 2023","2024-06-00","","The UK Innovation Survey asks businesses (with 10 or more employees) for information on their innovation activities over the previous three-year period. This report focuses on the results for businesses based in Scotland, comparisons are made with the UK and the results are broken down by innovation type, business size, industry sector, geography, drivers, collaboration, constraints, exporting, turnover growth and employee skills/qualifications.","Marina Curran
tel. 0131 244 6813
e-mail: marina.curran@gov.scot","Biennial","Not applicable",3005,8007,False,"2024-06-01",1717200000000
"Labour Market Trends, Labour Market Trends: September 2023","2023-09-12","07:00","Employment, unemployment and economic inactivity trends, sourced from the ONS Labour Force Survey for Scotland and the UK.","Claire Gordon
tel. 0300 244 6773
e-mail: claire.gordon@gov.scot","Monthly","Finalised Date",3000,8011,True,"2023-09-12",1694476800000
"Labour Market Trends, Labour Market Trends: October 2023","2023-10-17","07:00","Employment, unemployment and economic inactivity trends, sourced from the ONS Labour Force Survey for Scotland and the UK.","Claire Gordon
tel. 0300 244 6773
e-mail: claire.gordon@gov.scot","Monthly","Finalised Date",3000,8011,True,"2023-10-17",1697500800000
"Labour Market Trends, Labour Market Trends: November 2023","2023-11-14","07:00","Employment, unemployment and economic inactivity trends, sourced from the ONS Labour Force Survey for Scotland and the UK.","Claire Gordon
tel. 0300 244 6773
e-mail: claire.gordon@gov.scot","Monthly","Finalised Date",3000,8011,True,"2023-11-14",1699920000000
"Labour Market Trends, Labour Market Trends: December 2023","2023-12-12","07:00","Employment, unemployment and economic inactivity trends, sourced from the ONS Labour Force Survey for Scotland and the UK.","Claire Gordon
tel. 0300 244 6773
e-mail: claire.gordon@gov.scot","Monthly","Finalised Date",3000,8011,True,"2023-12-12",1702339200000
"Labour Market Trends, Labour Market Trends: January 2024","2024-01-16","07:00","Employment, unemployment and economic inactivity trends, sourced from the ONS Labour Force Survey for Scotland and the UK.","Claire Gordon
tel. 0300 244 6773
e-mail: claire.gordon@gov.scot","Monthly","",3000,8011,True,"2024-01-16",1705363200000
"Labour Market Trends, Labour Market Trends: February 2024","2024-02-13","07:00","Employment, unemployment and economic inactivity trends, sourced from the ONS Labour Force Survey for Scotland and the UK.","Claire Gordon
tel. 0300 244 6773
e-mail: claire.gordon@gov.scot","Monthly","Finalised Date",3000,8011,True,"2024-02-13",1707782400000
"Labour Market Trends, Labour Market Trends: March 2024","2024-03-12","07:00","Employment, unemployment and economic inactivity trends, sourced from the ONS Labour Force Survey for Scotland and the UK.","Claire Gordon
tel. 0300 244 6773
e-mail: claire.gordon@gov.scot","Monthly","Finalised Date",3000,8011,True,"2024-03-12",1710201600000
"Labour Market Statistics for young people (16-24 years): Scotland and UK, Statistics from the Annual Population Survey July 2022 to June 2023","2023-09-13","09:30","Employment, Unemployment and Economic Inactivity for young people (16-24 years): Statistics from the Annual Population Survey July 2022 to June 2023","Luke Main
tel. 0131 244 6782
e-mail: luke.main@gov.scot","Quarterly","Finalised publication date added.",3005,8011,True,"2023-09-13",1694563200000
"Scotland's Devolved Employment Services: Statistical Summary, Scotland's Devolved Employment Services: Statistical Summary - October 2023","2023-10-25","09:30","Statistics on No One Left Behind and Fair Start Scotland.","Guy McGivern
tel. 0141 272 7373
e-mail: employabilitydata@gov.scot","Quarterly","Not applicable",3005,8011,True,"2023-10-25",1698192000000
"Labour Market Statistics for young people (16-24 years): Scotland and UK, Statistics from the Annual Population Survey October 2022 to September 2023","2023-12-00","","Employment, Unemployment and Economic Inactivity for young people (16-24 years): Statistics from the ONS Annual Population Survey October 2022 to September 2023","Gayle Mackie tel. 0300 244 6783
e-mail: gayle.mackie@gov.scot","Quarterly","Not applicable",3005,8011,False,"2023-12-01",1701388800000
"Labour Market Statistics for young people (16-24 years): Scotland and UK, Statistics from the Annual Population Survey January 2023 to December 2023","2024-03-00","","Employment, Unemployment and Economic Inactivity for young people (16-24 years): Statistics from the ONS Annual Population Survey January 2023 to December 2023","Gayle Mackie tel. 0300 244 6783
e-mail: gayle.mackie@gov.scot","Quarterly","Not applicable",3005,8011,False,"2024-03-01",1709251200000
"Public Sector Employment in Scotland, Q2 2023","2023-09-12","07:00","Data on public sector employment and the estimated split of public and private sector employment in Scotland.","Graham Galloway
tel. 0300 244 6773
e-mail: graham.galloway@gov.scot","Quarterly","Finalised publication being added.",3000,8012,True,"2023-09-12",1694476800000
"Public Sector Employment in Scotland, Q3 2023","2023-12-00","","Data on public sector employment and the estimated split of public and private sector employment in Scotland.","Graham Galloway
tel. 0300 244 6773
e-mail: graham.galloway@gov.scot","Quarterly","Not applicable",3000,8012,False,"2023-12-01",1701388800000
"Public Sector Employment in Scotland, Q4 2023","2024-03-00","","Data on public sector employment and the estimated split of public and private sector employment in Scotland.","Graham Galloway
tel. 0300 244 6773
e-mail: graham.galloway@gov.scot","Quarterly","Not applicable",3000,8012,False,"2024-03-01",1709251200000
"Public Sector Employment in Scotland, Q1 2024","2024-06-00","","Data on public sector employment and the estimated split of public and private sector employment in Scotland.","Graham Galloway
tel. 0300 244 6773
e-mail: graham.galloway@gov.scot","Quarterly","Not applicable",3000,8012,False,"2024-06-01",1717200000000
"Public Sector Employment in Scotland, Q2 2024","2024-09-00","","Data on public sector employment and the estimated split of public and private sector employment in Scotland.","Graham Galloway
tel. 0300 244 6773
e-mail: graham.galloway@gov.scot","Quarterly","Not applicable",3000,8012,False,"2024-09-01",1725148800000
"Social Security Scotland Workforce Information, Social Security Scotland Workforce Information Quarter 2, 2023","2023-09-12","09:30","This publication will cover Social Security Scotland workforce information including: sickness absence, total workforce numbers (including contractors and consultants), and diversity information.","Ian Gardiner
tel. 0141 473 9178
e-mail: ian.gardiner@socialsecurity.gov.scot","Quarterly","Finalised date",3003,8012,True,"2023-09-12",1694476800000
"Diversity and Inclusion of Scottish Government Workforce, 2022 (revision)","2023-09-12","09:30","This publication will cover diversity and inclusion statistics for the Scottish Government workforce including: headcount, recruitment, turnover, sickness absence, performance appraisals, promotions, average pay, employee engagement, inclusion, bullying & harassment and discrimination. The characteristics included are age, sex & gender, trans status, disability, ethnic group, religion or belief, sexual orientation and socio-economic status","Eoin O Laighleis
tel. 0131 244 3939
e-mail: eoin.o-laighleis@gov.scot","One-off","Publishing updated data from People Survey 2022",3005,8012,True,"2023-09-12",1694476800000
"Scottish Government Workforce Information, Quarter 2 2023","2023-09-12","09:30","This publication will cover Scottish Government workforce information including: sickness absence, total workforce numbers (including contractors and consultants), and diversity information.","Mike Casey
tel. 0131 244 2106
e-mail: mike.casey@gov.scot","Quarterly","Finalise publication date",3005,8012,True,"2023-09-12",1694476800000
"Scottish Government Workforce Information, Quarter 3 2023","2023-12-00","","This publication will cover Scottish Government workforce information including: sickness absence, total workforce numbers (including contractors and consultants), and diversity information.","Mike Casey
tel. 0131 244 2106
e-mail: mike.casey@gov.scot","Quarterly","Not applicable",3005,8012,False,"2023-12-01",1701388800000
"Scottish Government Workforce Information, Quarter 4 2023","2024-03-12","09:30","This publication will cover Scottish Government workforce information including: sickness absence, total workforce numbers (including contractors and consultants), and diversity information.","Shona Rennie
tel. 0131 244 2106
e-mail: shona.rennie@gov.scot","Quarterly","Finalise publication date",3005,8012,True,"2024-03-12",1710201600000
"Diversity and Inclusion of Scottish Government Workforce, 2023","2024-03-00","","This publication will cover diversity and inclusion statistics for the Scottish Government workforce including: headcount, recruitment, turnover, sickness absence, performance appraisals, promotions, average pay, employee engagement, inclusion, bullying & harassment and discrimination. The characteristics included are age, sex & gender, trans status, disability, ethnic group, religion or belief, sexual orientation and socio-economic status","Eoin O Laighleis
tel. 0131 244 3939
e-mail: eoin.o-laighleis@gov.scot","Annual","Adding provisional publication date",3005,8012,False,"2024-03-01",1709251200000
"Recorded Crime in Scotland - Quarterly update , Year ending June 2023","2023-09-19","09:30","Quarterly statistics on crimes and offences recorded and cleared up by the police in Scotland, split by crime or offence group and by local authority.","Susan Carsley
tel. 0131 244 4388
e-mail: susan.carsley@gov.scot","Quarterly","This publication has been delayed due to IT issues with data supplier.",3000,8008,True,"2023-09-19",1695081600000
"Homicide in Scotland, 2022-23","2023-10-00","","This bulletin presents statistics on homicide cases recorded by Police Scotland in 2022-23. It forms part of the Scottish Government series of statistical bulletins on the criminal justice system. The full statistical bulletin is due for publication which will include court proceedings data and additional victim and offender analysis.","Huw Landrock / Emily MacLaren
tel. 0131 244 3707
e-mail: huw.landrock@gov.scot","Annual","Not applicable",3000,8008,False,"2023-10-01",1696118400000
"Recorded Crime in Scotland - Quarterly update , Year ending September 2023","2023-11-00","","Quarterly statistics on crimes and offences recorded and cleared up by the police in Scotland, split by crime or offence group and by local authority.","Susan Carsley
tel. 0131 244 4388
e-mail: susan.carsley@gov.scot","Quarterly","Not applicable",3000,8008,False,"2023-11-01",1698796800000
"Scottish Crime and Justice Survey, 2021-22","2023-11-00","","Main findings from the Scottish Crime and Justice Survey covering 2021/2022","Mark Bell
e-mail: mark.bell@gov.scot","Annual","Not applicable",3000,8008,False,"2023-11-01",1698796800000
"Scottish Prison Population Statistics, 2022-23","2023-11-00","","National Statistics on the Scottish Prison Population, including characteristics of people in prison and a range of information taken from information provided by the Courts","Jamie Robertson
tel. 01312443040
e-mail: jamie.robertson@gov.scot","Annual","Not applicable",3000,8008,False,"2023-11-01",1698796800000
"Quarterly Criminal Court Statistics in Scotland, 21 - Quarterly Criminal Court Statistics - Quarter 1, 2023-24","2023-09-07","09:30","This publication reports on criminal case activity in the High, Sheriff and Justice of the Peace courts in Scotland.","Janette Purbrick
tel. 0131-444-3453
e-mail: jpurbrick@scotcourts.gov.uk","Quarterly","",3005,8008,True,"2023-09-07",1694044800000
"Fire and Rescue Incident Statistics, Fire and Rescue Incident Statistics 2022-23","2023-10-00","","Statistics on Fire and Rescue incidents in Scotland covering fires, casualties, non-fire incidents and false alarms.","Rebecca Cameron
tel. 01698402563
e-mail: rebecca.cameron@firescotland.gov.uk","Annual","Not applicable",3005,8008,False,"2023-10-01",1696118400000
"Fire and Rescue Incident Statistics, Fire and Rescue Incident Statistics 2021-22","2023-10-31","09:30","Statistics on Fire and Rescue incidents in Scotland covering fires, casualties, non-fire incidents and false alarms.","Rebecca Cameron
tel. 01698402563
e-mail: rebecca.cameron@firescotland.gov.uk","Annual","Setting finalised date",3005,8008,True,"2023-10-31",1698710400000
"Police Officer Quarterly Strength Statistics Scotland, 30 September 2023","2023-11-07","09:30","Statistics on numbers of police officers employed by Scottish police forces. Figures broken down by police force and deployment.","Emily Maclaren
tel. 0131 244 3649
e-mail: emily.maclaren@gov.scot","Quarterly","updating with finalised date",3005,8008,True,"2023-11-07",1699315200000
"Quarterly Fines Report, 58: Quarterly Fines Report - Quarter 1, 2023-24","2023-11-00","","This publication reports on fines collection by the Scottish Courts and Tribunals Service for: Sheriff Court Fines, Justice of the Peace Court Fines, Fiscal penalties and Police Fixed Penalty Notices.","Janette Purbrick
tel. 0131 444 3453
e-mail: jpurbrick@scotcourts.pnn.gov.uk","Quarterly","Not applicable",3005,8008,False,"2023-11-01",1698796800000
"Domestic Abuse Recorded by the Police in Scotland, 2022-23","2023-11-00","","Characteristics of victims and perpetrators of domestic abuse incidents reported to the police at Scotland level.","Susan Carsley
e-mail: susan.carsley@gov.scot","Annual","Not applicable",3005,8008,False,"2023-11-01",1698796800000
"Quarterly Criminal Court Statistics in Scotland, 22 - Quarterly Criminal Court Statistics - Quarter 2, 2023-24","2023-12-00","","This publication reports on criminal case activity in the High, Sheriff and Justice of the Peace courts in Scotland.","Janette Purbrick
tel. 0131-444-3453
e-mail: jpurbrick@scotcourts.gov.uk","Quarterly","Not applicable",3005,8008,False,"2023-12-01",1701388800000
"Quarterly Fines Report, 59: Quarterly Fines Report - Quarter 2, 2023-24","2024-02-00","","This publication reports on fines collection by the Scottish Courts and Tribunals Service for: Sheriff Court Fines, Justice of the Peace Court Fines, Fiscal penalties and Police Fixed Penalty Notices.","Janette Purbrick
tel. 0131 444 3453
e-mail: jpurbrick@scotcourts.pnn.gov.uk","Quarterly","Provisional publication date wrongly entered as 2023 but should've been 2024",3005,8008,False,"2024-02-01",1706745600000
"Police Officer Quarterly Strength Statistics Scotland, 31 December 2023","2024-02-00","","Statistics on numbers of police officers employed by Scottish police forces. Figures broken down by police force and deployment.","Emily Maclaren
tel. 0131 244 3649
e-mail: emily.maclaren@gov.scot","Quarterly","Not applicable",3005,8008,False,"2024-02-01",1706745600000
"Quarterly Criminal Court Statistics in Scotland, 23 - Quarterly Criminal Court Statistics - Quarter 3, 2023-24","2024-03-00","","This publication reports on criminal case activity in the High, Sheriff and Justice of the Peace courts in Scotland.","Janette Purbrick
tel. 0131-444-3453
e-mail: jpurbrick@scotcourts.gov.uk","Quarterly","Not applicable",3005,8008,False,"2024-03-01",1709251200000
"Quarterly Fines Report, 60: Quarterly Fines Report - Quarter 3, 2023-24","2024-05-00","","This publication reports on fines collection by the Scottish Courts and Tribunals Service for: Sheriff Court Fines, Justice of the Peace Court Fines, Fiscal penalties and Police Fixed Penalty Notices.","Janette Purbrick
tel. 0131 444 3453
e-mail: jpurbrick@scotcourts.pnn.gov.uk","Quarterly","Not applicable",3005,8008,False,"2024-05-01",1714521600000
"Quarterly Criminal Court Statistics in Scotland, 24 - Quarterly Criminal Court Statistics - Quarter 4, 2023-24","2024-06-00","","This publication reports on criminal case activity in the High, Sheriff and Justice of the Peace courts in Scotland.","Janette Purbrick
tel. 0131-444-3453
e-mail: jpurbrick@scotcourts.gov.uk","Quarterly","Not applicable",3005,8008,False,"2024-06-01",1717200000000
"Quarterly Fines Report, 61: Quarterly Fines Report - Quarter 4, 2023-24","2024-08-00","","This publication reports on fines collection by the Scottish Courts and Tribunals Service for: Sheriff Court Fines, Justice of the Peace Court Fines, Fiscal penalties and Police Fixed Penalty Notices.","Janette Purbrick
tel. 0131 444 3453
e-mail: jpurbrick@scotcourts.pnn.gov.uk","Quarterly","Not applicable",3005,8008,False,"2024-08-01",1722470400000
"Quarterly Criminal Court Statistics in Scotland, 25 - Quarterly Criminal Court Statistics - Quarter 1, 2024-25","2024-09-00","","This publication reports on criminal case activity in the High, Sheriff and Justice of the Peace courts in Scotland.","Janette Purbrick
tel. 0131-444-3453
e-mail: jpurbrick@scotcourts.gov.uk","Quarterly","Provisional date now available",3005,8008,False,"2024-09-01",1725148800000
"Scottish Sea Fisheries Statistics, 2022","2023-09-27","09:30","National Statistics on Scottish sea fisheries landings, fleet and employment.","Venetia Haynes
tel. 0131 244 7447
e-mail: venetia.haynes@gov.scot","Annual","actual date confirmed",3000,8018,True,"2023-09-27",1695772800000
"First Estimates of the Cereal and Oilseed Rape Harvest, Cereal and oilseed rape harvest - first estimates: 2023","2023-10-12","09:30","Initial estimates of area, yield and production for winter and spring barley, wheat, oats and oilseed rape.","Jay Gillam
e-mail: jay.gillam@gov.scot","Annual","Not applicable",3000,8018,True,"2023-10-12",1697068800000
"Results from June Agricultural Census, 2023","2023-10-31","09:30","Results from the annual agricultural census. Land, livestock and labour items","Christina Coakley
tel. 0300 244 9717
e-mail: christina.coakley@gov.scot","Annual","",3000,8018,True,"2023-10-31",1698710400000
"Arable Crops and Potato Stores, Arable Crops and Potato Stores 2022","2023-12-00","","Information on pesticide usage on arable crops & potato stores; from surveillance surveys","Craig Davis
tel. 0131 244 6364
e-mail: craig.davis@sasa.gov.scot","Biennial","Resource constraints.",3000,8018,False,"2023-12-01",1701388800000
"Soft Fruit Crops, Soft Fruit Crops 2022","2023-12-00","","Information on pesticide usage on soft fruit crops; from surveillance surveys","Craig Davis
tel. 0131 244 6364
e-mail: craig.davis@sasa.gov.scot","Biennial","Resource constraints.",3000,8018,False,"2023-12-01",1701388800000
"Rodenticides on Arable Farms, Rodenticides on Arable Farms 2022","2024-03-00","","Information on rodenticide use on arable farms; from surveillance surveys","Craig Davis
tel. 0131 244 6364
e-mail: craig.davis@sasa.gov.scot","Biennial","Resource constraints.",3000,8018,False,"2024-03-01",1709251200000
"Scottish Sea Fisheries Statistics, provisional edition, Provisional Scottish Sea Fisheries Statistics 2023","2024-05-00","","Selected provisional statistics on landings of sea fish; the Scottish fishing fleet; and the number of sea fishermen employed.","Venetia Haynes
tel. 0131 244 6437
e-mail: venetia.haynes@gov.scot","Annual","Not applicable",3000,8018,False,"2024-05-01",1714521600000
"Marine Economic Statistics, Scotland's Marine Economic Statistics 2021","2023-11-00","","An overview of Scotland's marine economy across marine sectors. The data are collated from various statistical publications.These statistics are experimental statistics, not official statistics, released in accordance with the Code of Practice for Official Statistics guidelines on experimental statistics.","Venetia Haynes
tel. 0131 244 7447
e-mail: venetia.haynes@gov.scot","Annual","Not applicable",3002,8018,False,"2023-11-01",1698796800000
"Scottish Fish Farm Production Survey, 2022","2023-10-04","09:30","Production and employment figures for fin fish aquaculture in 2022","Lorna Munro
tel. 0131 244 4348
e-mail: lorna.munro@gov.scot","Annual","Finalised publication date",3005,8018,True,"2023-10-04",1696377600000
"Scottish Salmon and Sea Trout Fishery Statistics, 2023 season - Provisional Statistics","2024-03-00","","A summary of provisional catch for the East and West of Scotland, based on returns from proprietors/occupiers/agents of salmon fisheries.","Craig Robinson
tel. 0131 244 4500
e-mail: ms.catchform@gov.scot
Alison Taylor
tel. 01312442759
e-mail: alison.m.taylor@gov.scot","Annual","Not applicable",3005,8018,False,"2024-03-01",1709251200000
"Scottish Shellfish Farm Production Survey, 2023","2024-05-00","","Production and employment figures for shellfish aquaculture in 2023","Lorna Munro
tel. 0131 244 4348
e-mail: lorna.munro@gov.scot","Annual","Not applicable",3005,8018,False,"2024-05-01",1714521600000
"Scottish Salmon and Sea Trout Fishery Statistics, 2023 Season - Final","2024-05-00","","A detailed overview of catch and net fishing effort based on returns from proprietors/occupiers/agents of salmon fisheries throughout Scotland (2023 Statistics)","Craig Robinson
tel. 0131 244 4500
e-mail: ms.catchform@gov.scot
Alison Taylor
tel. 01312442759
e-mail: alison.m.taylor@gov.scot","Annual","Not applicable",3005,8018,False,"2024-05-01",1714521600000
"Scottish Fish Farm Production Survey, 2023","2024-09-00","","Production and employment figures for fin fish aquaculture in 2023","Lorna Munro
tel. 0131 244 4348
e-mail: lorna.munro@gov.scot","Annual","Not applicable",3005,8018,False,"2024-09-01",1725148800000
"Disability and Transport: Findings from the Scottish Household Survey, 2021","2023-10-18","09:30","Findings from the Scottish Household Survey on disability and transport","Keith Hoy
tel. 01312443004
e-mail: keith.hoy@transport.gov.scot","Annual","Not applicable",3000,8020,True,"2023-10-18",1697587200000
"Reported Road Casualties Scotland, 2022","2023-10-25","09:30","Main release of road casualty and accident data collected from Scottish Police forces","Andrew Paterson
tel. 0131 244 3201
e-mail: andrew.paterson@transport.gov.scot
Andrew Knight
tel. 0131 244 7256
e-mail: andrew.knight@transport.gov.scot","Annual","Not applicable",3000,8020,True,"2023-10-25",1698192000000
"GDP: Quarterly National Accounts, Scotland, 2023 Quarter 2","2023-11-01","09:30","Updated estimates of onshore GDP growth in real terms for the latest quarter, along with additional breakdowns of GDP by categories of income and expenditure, and key household sector economic statistics, which are used for economic forecasting and modelling.","John Dowens
tel. 0131 244 2827
e-mail: john.dowens@scotland.gsi.gov.uk","Quarterly","",3000,8010,True,"2023-11-01",1698796800000
"Export Statistics Scotland, 2021","2023-11-29","09:30","Official estimates of Scotland?s exports. It includes both the services and manufacturing sectors of the Scottish economy although excludes oil and gas. Information on international exports, including EU and non-EU, as well as exports to the rest of the UK are provided.","Jessica Scriven
tel. 03002441397
e-mail: jessica.scriven@gov.scot","Annual","Pre-announcing publication date",3000,8010,True,"2023-11-29",1701216000000
"GDP First Quarterly Estimate, 2023 Q3","2023-11-00","","Scottish GVA estimates for the latest quarter.","Carrie Graham
tel. 0131 244 1995
e-mail: carrie.graham@gov.scot","Quarterly","Not applicable",3000,8010,False,"2023-11-01",1698796800000
"GDP: Quarterly National Accounts, Scotland, 2023 Quarter 3","2024-01-00","","Updated estimates of onshore GDP growth in real terms for the latest quarter, along with additional breakdowns of GDP by categories of income and expenditure, and key household sector economic statistics, which are used for economic forecasting and modelling.","John Dowens
tel. 0131 244 2827
e-mail: john.dowens@scotland.gsi.gov.uk","Quarterly","Not applicable",3000,8010,False,"2024-01-01",1704067200000
"GDP First Quarterly Estimate, 2023 Q4","2024-02-00","","Scottish GVA estimates for the latest quarter.","Carrie Graham
tel. 0131 244 1995
e-mail: carrie.graham@gov.scot","Quarterly","Not applicable",3000,8010,False,"2024-02-01",1706745600000
"GDP: Quarterly National Accounts, Scotland, 2023 Quarter 4","2024-04-00","","Updated estimates of onshore GDP growth in real terms for the latest quarter, along with additional breakdowns of GDP by categories of income and expenditure, and key household sector economic statistics, which are used for economic forecasting and modelling.","John Dowens
tel. 0131 244 2827
e-mail: john.dowens@scotland.gsi.gov.uk","Quarterly","Not applicable",3000,8010,False,"2024-04-01",1711929600000
"GDP Monthly Estimate, 2023 M7 July","2023-09-27","09:30","Provisional monthly estimates of GDP growth for Scotland's onshore economy.","Carrie Graham
tel. 01312442827
e-mail: carrie.graham@gov.scot","Monthly","",3002,8010,True,"2023-09-27",1695772800000
"GDP Monthly Estimate, 2023 M8 August","2023-11-01","09:30","Provisional monthly estimates of GDP growth for Scotland's onshore economy.","Carrie Graham
tel. 01312442827
e-mail: carrie.graham@gov.scot","Monthly","",3002,8010,True,"2023-11-01",1698796800000
"GDP Monthly Estimate, 2023 M9 September","2023-11-00","","Provisional monthly estimates of GDP growth for Scotland's onshore economy.","Carrie Graham
tel. 01312442827
e-mail: carrie.graham@gov.scot","Monthly","Not applicable",3002,8010,False,"2023-11-01",1698796800000
"GDP Monthly Estimate, 2023 M10 October","2023-12-00","","Provisional monthly estimates of GDP growth for Scotland's onshore economy.","Carrie Graham
tel. 01312442827
e-mail: carrie.graham@gov.scot","Monthly","Not applicable",3002,8010,False,"2023-12-01",1701388800000
"GDP Monthly Estimate, 2023 M11 November","2024-01-00","","Provisional monthly estimates of GDP growth for Scotland's onshore economy.","Carrie Graham
tel. 01312442827
e-mail: carrie.graham@gov.scot","Monthly","Not applicable",3002,8010,False,"2024-01-01",1704067200000
"GDP Monthly Estimate, 2023 M12 December","2024-02-00","","Provisional monthly estimates of GDP growth for Scotland's onshore economy.","Carrie Graham
tel. 01312442827
e-mail: carrie.graham@gov.scot","Monthly","Not applicable",3002,8010,False,"2024-02-01",1706745600000
"GDP Monthly Estimate, 2024 M1 January","2024-03-00","","Provisional monthly estimates of GDP growth for Scotland's onshore economy.","Carrie Graham
tel. 01312442827
e-mail: carrie.graham@gov.scot","Monthly","Not applicable",3002,8010,False,"2024-03-01",1709251200000
"GDP Monthly Estimate, 2024 M2 February","2024-04-00","","Provisional monthly estimates of GDP growth for Scotland's onshore economy.","Carrie Graham
tel. 01312442827
e-mail: carrie.graham@gov.scot","Monthly","Not applicable",3002,8010,False,"2024-04-01",1711929600000
"Scottish Statutory Debt Solutions Statistics, Financial Year 2023-24","2024-08-00","","Annual statistics on statutory debt solutions including bankruptcy, protected trust deed, and the Debt Arrangement Scheme for the financial year 2022-23. Also includes statutory moratoriums on diligence.","Catherine McAuley
tel. 0300 200 2666
e-mail: catherine.mcauley@aib.gov.uk","Annual","Not applicable",3002,8010,False,"2024-08-01",1722470400000
